X,Y,Lote,Rto,N,Z
416621.781521883,6304652.44819555,LP08,10459.149,440,2
416623.846182813,6304652.46597846,LP08,10306.809,440,2
416625.901734446,6304652.46150632,LP08,10431.064,440,2
416627.938399049,6304652.49013531,LP08,10287.128,440,2
416629.975254625,6304652.49658936,LP08,10500.319,440,2
416632.021314981,6304652.51421034,LP08,10185.745,440,2
416634.076771089,6304652.52082372,LP08,10316.383,440,2
416636.122831434,6304652.53844382,LP08,10550.638,440,1
416638.169082728,6304652.53388899,LP08,10835,440,1
416640.196542509,6304652.55134806,LP08,10250.532,440,1
416642.242889252,6304652.53570512,LP08,10562.34,440,1
416644.288949565,6304652.5533235,LP08,10390.957,440,1
416646.335105341,6304652.55985419,LP08,10610.532,440,1
416648.381070177,6304652.58855896,LP08,10342.66,440,1
416650.418212052,6304652.56174695,LP08,10313.511,440,1
416652.436562435,6304652.55694888,LP08,10294.149,440,1
416654.501223259,6304652.57472525,LP08,10433.511,440,1
416656.537983255,6304652.59226097,LP08,10514.043,440,1
416658.574647793,6304652.62088351,LP08,10675.745,440,1
416660.620708055,6304652.63849843,LP08,10721.596,440,1
416662.657468039,6304652.65603286,LP08,10728.298,440,1
416664.694323465,6304652.66247961,LP08,10789.149,440,1
416666.721878607,6304652.66884587,LP08,10427.553,440,1
416668.786730276,6304652.66444469,LP08,10421.17,440,1
416670.814285398,6304652.6708101,LP08,10063.723,440,1
416672.860441056,6304652.67733518,LP08,10637.128,440,1
416674.887900724,6304652.69478698,LP08,10262.66,440,1
416676.934056366,6304652.70131121,LP08,10253.298,440,1
416678.970911725,6304652.70775496,LP08,10147.128,440,1
416681.026367622,6304652.71435837,LP08,10507.553,440,1
416683.044526989,6304652.73172841,LP08,10570.532,440,1
416685.090682596,6304652.73825091,LP08,10680.532,440,1
416687.118142224,6304652.75570015,LP08,10818.085,440,1
416689.173693506,6304652.75121458,LP08,10739.468,440,1
416691.2199445,6304652.74664854,LP08,10625.106,440,1
416693.275304925,6304652.7643366,LP08,10760.957,440,1
416695.340156442,6304652.75992976,LP08,10551.915,440,1
416697.386216579,6304652.77753691,LP08,10897.766,440,1
416699.441863205,6304652.76196191,LP08,10012.766,440,1
416701.48801873,6304652.76848095,LP08,10699.894,440,1
416703.552774792,6304652.7751596,LP08,10371.277,440,1
416705.608135171,6304652.79284505,LP08,10748.936,440,1
416707.663495547,6304652.81053005,LP08,10725.106,440,1
416709.719237495,6304652.78386562,LP08,10665.319,440,1
416711.77459785,6304652.80154975,LP08,10586.489,440,1
416713.830053591,6304652.8081462,LP08,10641.915,440,1
416715.876209049,6304652.81466219,LP08,10576.915,440,1
416717.950265315,6304652.82141779,LP08,10727.447,440,1
416719.996420755,6304652.82793292,LP08,10586.489,440,1
416722.042671565,6304652.82336036,LP08,10931.596,440,1
416724.098031876,6304652.84104188,LP08,10555.319,440,1
416726.153487558,6304652.84763571,LP08,10526.702,440,1
416728.208847858,6304652.86531635,LP08,10641.383,440,1
416730.28299944,6304652.86098205,LP08,10727.979,440,1
416732.329154822,6304652.86749457,LP08,10856.809,440,1
416734.384705832,6304652.86299941,LP08,10311.596,440,1
416736.449461737,6304652.86967104,LP08,10813.511,440,1
416738.495521726,6304652.88726951,LP08,10424.681,440,1
416740.5510727,6304652.88277303,LP08,10734.681,440,1
416742.606337589,6304652.91153787,LP08,10560.106,440,1
416744.661602478,6304652.94030227,LP08,10801.596,440,1
416746.717153423,6304652.93580448,LP08,10445.426,440,1
416748.763404082,6304652.93122627,LP08,10716.809,440,1
416750.856060742,6304652.93813479,LP08,10236.596,440,1
416752.995314099,6304652.93435549,LP08,10388.511,440,1
416755.153167985,6304652.93073567,LP08,10015.745,440,1
416757.28312104,6304652.92687544,LP08,10609.681,440,1
416759.412978742,6304652.934102,LP08,10111.383,440,1
416761.542741096,6304652.95241534,LP08,10347.128,440,1
416763.681899052,6304652.95972093,LP08,10077.979,440,1
416765.793156181,6304652.96678615,LP08,10509.043,440,1
416767.9044133,6304652.97385091,LP08,10207.872,440,1
416770.015575083,6304652.99200246,LP08,10427.021,440,1
416772.154637677,6304653.01039343,LP08,10252.447,440,1
416774.284495315,6304653.01761671,LP08,10199.894,440,1
416776.405147988,6304653.01367233,LP08,10159.043,440,1
416778.525705332,6304653.02081472,LP08,10391.383,440,1
416780.64616735,6304653.03904391,LP08,10382.021,440,1
416782.785420531,6304653.03525802,LP08,10204.468,440,1
416784.915468733,6304653.02030447,LP08,10150.638,440,1
416787.035835417,6304653.04961951,LP08,10333.298,440,1
416789.174993254,6304653.05691946,LP08,10146.915,440,1
416791.314055778,6304653.0753062,LP08,10195.319,440,1
416793.46232327,6304653.10485964,LP08,10118.085,440,1
416795.601481083,6304653.11215818,LP08,10277.872,440,1
416797.722038341,6304653.11929637,LP08,10563.191,440,1
416799.870496405,6304653.1266739,LP08,10191.383,440,1
416802.019049748,6304653.1229637,LP08,10237.234,440,1
416804.167603075,6304653.11925302,LP08,10180.745,440,1
416806.297460561,6304653.12646927,LP08,10377.234,440,1
416808.427222754,6304653.14477229,LP08,9967.447,440,1
416810.556984941,6304653.16307485,LP08,10433.191,440,1
416812.696047395,6304653.18145685,LP08,10170.745,440,1
416814.826000122,6304653.17758397,LP08,10491.17,440,1
416816.974362832,6304653.19604495,LP08,10310.319,440,1
416819.113425265,6304653.21442554,LP08,10315,440,1
416821.252582959,6304653.22171841,LP08,10248.191,440,1
416823.382345109,6304653.24001814,LP08,10528.936,440,1
416825.530898319,6304653.23630273,LP08,10335.638,440,1
416827.679451515,6304653.23258683,LP08,10392.872,440,1
416829.818609165,6304653.2398778,LP08,10206.809,440,1
416831.939166264,6304653.2470085,LP08,10521.383,440,1
416834.069118877,6304653.24313139,LP08,10461.064,440,1
416836.17107541,6304653.25010135,LP08,10523.085,440,1
416838.291632476,6304653.25723066,LP08,10400.638,440,1
416840.402889262,6304653.26427961,LP08,10616.596,440,1
416842.532651336,6304653.28257513,LP08,10277.553,440,1
416844.653113133,6304653.30079029,LP08,10637.553,440,1
416846.764274655,6304653.31892509,LP08,10405.319,440,1
416848.894227184,6304653.31504472,LP08,10210.213,440,1
416851.014879428,6304653.31108399,LP08,10300.745,440,1
416853.144736697,6304653.31828992,LP08,10298.617,440,1
416855.25618387,6304653.30316113,LP08,10321.596,440,1
416857.404736881,6304653.29943864,LP08,10120.638,440,1
416859.506598078,6304653.31749079,LP08,10354.149,440,1
416861.627345472,6304653.30244049,LP08,10347.234,440,1
416863.747807192,6304653.32065146,LP08,10586.489,440,1
416865.859063851,6304653.32769486,LP08,10584.043,440,1
416867.979430343,6304653.35699216,LP08,10553.936,440,1
416870.10938274,6304653.35310711,LP08,10241.277,440,1
416872.248444975,6304653.37147596,LP08,10160.745,440,1
416874.378397346,6304653.36758997,LP08,10069.787,440,1
416876.489653957,6304653.37463105,LP08,10422.34,440,1
416878.619415899,6304653.39291863,LP08,10111.383,440,1
416880.730672492,6304653.39995878,LP08,10412.979,440,1
416882.860624814,6304653.39607093,LP08,10050.319,440,1
416884.980991266,6304653.4253645,LP08,10344.894,440,1
416887.092247832,6304653.43240327,LP08,10525.426,440,1
416889.212899848,6304653.42843417,LP08,10349.574,440,1
416891.342756933,6304653.4356317,LP08,9799.574,440,1
416893.47270919,6304653.43174152,LP08,10010.426,440,1
416895.611866522,6304653.43901795,LP08,10070,440,1
416897.722932673,6304653.46822889,LP08,10457.447,440,1
416899.852694542,6304653.4865118,LP08,10238.511,440,1
416901.982551581,6304653.49370699,LP08,10402.979,440,1
416904.112503782,6304653.48981446,LP08,10538.085,440,1
416906.214555157,6304653.48568197,LP08,10804.468,440,1
416908.344316992,6304653.50396301,LP08,10625.957,440,1
416910.464778552,6304653.52216376,LP08,10832.66,440,1
416912.604030973,6304653.51834919,LP08,10465.106,440,1
416914.724587677,6304653.52546175,LP08,10022.021,440,1
416916.854349485,6304653.54374092,LP08,9843.298,440,1
416918.984206442,6304653.55093237,LP08,9709.787,440,1
416921.104763119,6304653.55804353,LP08,9750.319,440,1
416923.243920326,6304653.56531386,LP08,9975,440,1
416925.373967548,6304653.5503294,LP08,10154.468,440,1
416927.48522392,6304653.55735936,LP08,10235.745,440,1
416929.605685409,6304653.57555591,LP08,10307.766,440,1
416931.512335831,6304653.5808292,LP08,11286.17,440,1
416932.804978172,6304653.60300947,LP08,13130.426,440,1
416914.172636289,6304653.89771864,LP08,6638.191,440,1
416923.436439663,6304659.31058359,LP08,11026.915,440,1
416924.945343574,6304660.14404955,LP08,10482.766,260,1
416926.520015703,6304660.90046322,LP08,9485.638,260,1
416928.095354084,6304661.57926588,LP08,9960.106,260,1
416929.72697006,6304662.20311089,LP08,10204.362,260,1
416931.378518768,6304662.67189377,LP08,10203.617,260,1
416933.077805826,6304662.99694115,LP08,9836.383,260,1
416934.815150337,6304663.22252223,LP08,10009.149,260,1
416936.572427362,6304663.29304111,LP08,9859.149,260,1
416938.320023597,6304663.40782887,LP08,9464.574,260,1
416940.049304696,6304663.48919498,LP08,10530.957,260,1
416941.807247684,6304663.48210218,LP08,10880.213,260,1
416943.537004442,6304663.50803142,LP08,11492.979,260,1
416945.276346854,6304663.50077841,LP08,10755.745,260,1
416946.959792458,6304663.50413358,LP08,10032.447,260,1
416948.252721465,6304663.49305002,LP08,9138.191,260,1
416948.950242379,6304663.49903427,LP08,6580.638,260,1
416934.404339137,6304653.6499976,LP08,12439.894,440,1
416935.687871484,6304653.6499232,LP08,11617.34,440,1
416936.971498961,6304653.63876137,LP08,11744.362,440,1
416938.254936164,6304653.64977387,LP08,12465.106,440,1
416939.529073097,6304653.6607064,LP08,13333.723,440,1
416940.821905696,6304653.66071111,LP08,13172.447,440,1
416942.096042623,6304653.6716433,LP08,13444.574,440,1
416944.94202022,6304653.68497333,LP08,12345,440,1
416946.737162477,6304653.67819885,LP08,10911.489,440,1
416948.615912025,6304653.68322939,LP08,10606.17,440,1
416950.50424719,6304653.65507762,LP08,10553.83,440,1
416952.410897523,6304653.66034679,LP08,10602.021,440,1
416954.336053271,6304653.6768624,LP08,10773.936,440,1
416956.233403319,6304653.68205104,LP08,11174.681,440,1
416958.140053628,6304653.68731908,LP08,11208.404,440,1
416960.074699844,6304653.68173884,LP08,11161.702,440,1
416962.037151749,6304653.68748479,LP08,11023.511,440,1
416964.008903913,6304653.69331012,LP08,11212.021,440,1
416965.989956337,6304653.69921482,LP08,11016.702,440,1
416967.961708484,6304653.70503934,LP08,11232.128,440,1
416969.951966063,6304653.72211025,LP08,10942.872,440,1
416971.99821544,6304653.71748486,LP08,10844.681,440,1
416974.072270518,6304653.72418558,LP08,10661.383,440,1
416976.137025316,6304653.7308061,LP08,10751.383,440,1
416978.210985288,6304653.74859318,LP08,10666.17,440,1
416980.257044447,6304653.76614054,LP08,10982.234,440,1
416982.331099491,6304653.77283949,LP08,10742.234,440,1
416984.395854255,6304653.77945825,LP08,10632.872,440,1
416986.469909281,6304653.78615631,LP08,10292.66,440,1
416988.534664026,6304653.79277418,LP08,10411.915,440,1
416990.59002342,6304653.81039911,LP08,10572.128,440,1
416992.654873219,6304653.80592885,LP08,10682.766,440,1
416994.729023274,6304653.8015379,LP08,10521.064,440,1
416996.793682912,6304653.81924126,LP08,10524.255,440,1
416998.84913734,6304653.82577718,LP08,10543.404,440,1
417000.895196429,6304653.84332018,LP08,10707.128,440,2
417002.960046169,6304653.83884773,LP08,10347.447,440,2
417005.006200301,6304653.84530261,LP08,10433.511,440,2
417007.052259368,6304653.8628443,LP08,10736.064,440,2
417009.117109072,6304653.85837054,LP08,10510,440,2
417011.172468393,6304653.87599109,LP08,10471.702,440,2
417013.228017804,6304653.87143672,LP08,10330.638,440,2
417015.292772424,6304653.87804888,LP08,10311.702,440,2
417017.357622077,6304653.87357336,LP08,10385.638,440,2
417019.478083245,6304653.89175022,LP08,10157.34,440,2
417021.589339177,6304653.89875965,LP08,9966.277,440,2
417023.719195636,6304653.90592805,LP08,9734.574,440,2
417025.821151279,6304653.91285684,LP08,10012.021,440,2
417027.932407181,6304653.91986489,LP08,9829.043,440,2
417030.062358637,6304653.91594465,LP08,9118.511,440,3
417032.182914784,6304653.92303148,LP08,9065.106,440,3
417034.312581144,6304653.95237205,LP08,8577.34,440,3
417036.423837008,6304653.95937824,LP08,8143.085,440,3
417038.553978453,6304653.93328165,LP08,8242.979,440,3
417040.665234289,6304653.94028691,LP08,7757.553,440,3
417042.767094836,6304653.95829927,LP08,8004.894,440,3
417044.896761168,6304653.98763751,LP08,7755.213,440,3
417047.017317251,6304653.99472109,LP08,7448.617,440,3
417049.137873322,6304654.00180421,LP08,6926.064,440,3
417051.258239377,6304654.03106135,LP08,6361.596,440,3
417053.378795433,6304654.03814354,LP08,5688.085,440,4
417055.480655946,6304654.05615314,LP08,5648.404,440,4
417057.59210171,6304654.04098022,LP08,5365.213,440,4
417059.703357467,6304654.04798134,LP08,5350.638,440,4
417061.82391348,6304654.05506167,LP08,5033.085,440,4
417063.95386474,6304654.05113398,LP08,4896.277,440,4
417066.074325745,6304654.06930063,LP08,4719.574,440,4
417068.213482264,6304654.07653893,LP08,4810.638,440,4
417070.333848274,6304654.10579189,LP08,4659.149,440,4
417072.435803706,6304654.11271056,LP08,4727.021,440,4
417074.528458862,6304654.1195491,LP08,4622.34,440,4
417076.648919836,6304654.13771344,LP08,4522.979,440,4
417078.741480003,6304654.15563831,LP08,4742.553,440,4
417080.815914479,6304654.11796718,LP08,5293.83,440,4
417082.936375424,6304654.13613014,LP08,5260.745,440,4
417085.066326563,6304654.1321978,LP08,5268.404,440,4
417087.205388028,6304654.15051914,LP08,5071.17,440,4
417089.353749755,6304654.16891967,LP08,5157.553,440,4
417091.492716252,6304654.19832731,LP08,5411.702,440,4
417093.641077971,6304654.21672688,LP08,5544.574,440,4
417095.780234371,6304654.22395908,LP08,5730.745,440,4
417097.91958066,6304654.20901632,LP08,5793.617,440,4
417100.068037301,6304654.21632722,LP08,5556.064,440,4
