"x" "y" "REND"
580201.909078106 5955461.98263289 10.1962757187136
580201.418158844 5955465.89570621 15.8412583395069
580203.603059042 5955464.41956856 1.13563092329833
580182.431844879 5955476.37880046 0.336910852290933
580185.849703945 5955472.88277744 0.297787085961034
580185.836270035 5955468.07948723 0.714383590453439
580187.352375227 5955462.82506756 0.74951182520961
580192.180580571 5955460.84329468 1.09715370805474
580196.89917451 5955463.51554299 1.40536784786738
580197.449656735 5955469.036819 2.55092418298234
580193.607773108 5955471.95292641 4.20155793471339
580189.253938493 5955474.01764856 8.16544827411489
580187.305854002 5955475.89390816 58.8984584997634
580186.976313279 5955476.83384025 32.3646281448929
580184.629766807 5955479.45153725 15.2423700632748
580182.877724942 5955467.60491227 0.71219084065702
580186.876860072 5955464.47686788 0.960853982375027
580191.767117311 5955465.18204336 1.34350371684473
580195.047083748 5955468.88958232 1.48717762482051
580194.7278725 5955473.68272553 1.4482652291208
580191.970200731 5955477.32050614 1.55520109627082
580189.666716203 5955479.89353535 2.83473703660588
580188.230793439 5955481.63677534 5.38754190651138
580186.877515829 5955482.95830093 9.83934259610803
580185.748288 5955484.21147026 10.36239422936
580193.656771669 5955464.74218546 1.00324023096947
580189.837039574 5955462.98361414 0.678564271184329
580185.994967784 5955461.62751999 0.625911685588258
580181.981240913 5955460.62414555 0.868479595118561
580183.830106349 5955454.52078741 0.780662506738285
580187.19024748 5955456.08088793 1.20381241958321
580191.196413137 5955457.4973432 1.80630083389317
580194.941323239 5955457.93453559 2.6810867772583
580198.89747065 5955458.77794565 5.8785287947772
580199.002711106 5955468.67096303 18.5411816937193
580196.749986328 5955471.50720664 21.2640201135019
580194.116393219 5955474.54859166 21.9797797992325
580191.5698646 5955477.36769524 21.390636915555
580188.863198562 5955480.12289352 21.6743777773816
580186.406552942 5955482.94075183 21.6304708642339
580183.771542702 5955485.87161507 22.9074688715851
580182.44100345 5955454.50147774 1.56168767320042
580183.482361171 5955453.87742445 15.8162761896341
580182.537389124 5955455.20648434 0.56737461663969
580185.174196162 5955455.9799102 0.374050273273643
580187.714204191 5955456.89604493 0.0158351293434856
580190.982222433 5955458.45600554 0
580193.306815407 5955459.24114637 0
580195.003312307 5955459.81043049 0
580197.99498943 5955460.57943432 0
580200.431030402 5955461.42550309 0.0210822572394492
580161.479431115 5955442.87748436 0.844023864117718
580162.054642344 5955448.09196339 0.808597772590722
580162.001973616 5955453.03625585 1.33114633284959
580162.251897817 5955439.05350359 0.411936780933517
580165.254066217 5955444.53132416 0.616497998029019
580167.722236757 5955448.81051683 1.07683386786678
580169.117421807 5955453.35706592 1.65280687340512
580168.914815429 5955458.05748356 2.95650888662492
580166.698375348 5955462.15688713 5.32868381072096
580163.642981943 5955465.55774473 10.4097672511956
580163.731719435 5955496.16113069 8.69514144320219
580166.651179484 5955492.7172841 9.1072517955791
580169.890277091 5955489.62592208 9.36548743710194
580173.016573743 5955486.40154313 7.71552626151088
580176.11841894 5955483.0445182 5.60809553457656
580179.268218651 5955479.72968704 1.91516350225324
580181.325977717 5955482.79920518 15.9049024825111
580177.957567777 5955486.36949645 17.0038632577504
580174.630525052 5955489.79609529 17.201986124886
