X,Y,ZM,TRATA,BLOQUE,Rto
383440.753,6285452.519,BP,SPS+Zn,1,7490.33736
383444.9526,6285452.578,BP,SPS+Zn,1,7541.07375
383449.1522,6285452.638,BP,SPS+Zn,1,8957.95824
383453.3518,6285452.697,BP,SPS+Zn,1,8971.04076
383457.5514,6285452.756,BP,SPS+Zn,1,7618.78392
383461.7509,6285452.816,BP,SPS+Zn,1,7878.05568
383465.9505,6285452.875,BP,SPS+Zn,1,8909.19612
383470.1501,6285452.934,BP,SPS+Zn,1,8686.00833
383474.3497,6285452.994,BP,SPS+Zn,1,7397.5704
383478.5493,6285453.053,BP,SPS+Zn,1,7403.517
383482.7488,6285453.113,BP,SPS+Zn,1,7045.53168
383486.9484,6285453.172,BP,SPS+Zn,1,7951.79352
383491.148,6285453.231,BP,SPS+Zn,1,6766.04148
383495.3476,6285453.291,BP,SPS+Zn,1,8752.20588
383499.5472,6285453.35,BP,SPS+Zn,1,7028.8812
383503.7468,6285453.409,BP,SPS+Zn,1,7763.88096
383012.4552,6285442.263,AP,SPS,1,3187.49075
383016.6548,6285442.322,AP,SPS,1,9658.02873
383020.8544,6285442.382,AP,SPS,1,9720.59546
383025.054,6285442.441,AP,SPS,1,8234.9199
383029.2536,6285442.501,AP,SPS,1,9184.7967
383033.4531,6285442.56,AP,SPS,1,9282.62832
383037.6527,6285442.619,AP,SPS,1,9774.06158
383041.8523,6285442.679,AP,SPS,1,8463.57288
383046.0519,6285442.738,AP,SPS,1,9260.62758
383050.2515,6285442.797,AP,SPS,1,9366.80902
383054.451,6285442.857,AP,SPS,1,9689.88089
383058.6506,6285442.916,AP,SPS,1,9737.65912
383062.8502,6285442.976,AP,SPS,1,10697.77411
383067.0498,6285443.035,AP,SPS,1,10960.5544
383071.2494,6285443.094,AP,SPS,1,10669.33468
383075.4489,6285443.154,AP,SPS,1,10551.02667
383079.6485,6285443.213,AP,SPS,1,10491.87267
383083.8481,6285443.272,AP,SPS,1,10496.42298
383088.0477,6285443.332,AP,SPS,1,11065.21148
383092.2473,6285443.391,AP,SPS,1,9763.82339
383096.4468,6285443.451,AP,SPS,1,8840.11087
383100.6464,6285443.51,AP,SPS,1,10040.2546
383104.846,6285443.569,AP,SPS,1,9667.12935
383109.0456,6285443.629,AP,SPS,1,8702.46405
383113.2452,6285443.688,AP,SPS,1,9801.36343
383117.4447,6285443.747,AP,SPS,1,9192.75974
383121.6443,6285443.807,AP,SPS,1,9910.57082
383125.8439,6285443.866,AP,SPS,1,10154.0123
383130.0435,6285443.926,AP,SPS,1,10258.66939
383134.2431,6285443.985,AP,SPS,1,10800.15604
383138.4426,6285444.044,AP,SPS,1,9719.45789
383142.6422,6285444.104,AP,SPS,1,12117.4702
383146.8418,6285444.163,AP,SPS,1,11714.76795
383151.0414,6285444.222,AP,SPS,1,11281.35111
383155.241,6285444.282,AP,SPS,1,10306.44762
383159.4405,6285444.341,AP,SPS,1,12438.26692
383163.6401,6285444.401,AP,SPS,1,9943.56056
383167.8397,6285444.46,AP,SPS,1,10503.24844
383172.0393,6285444.519,AP,SPS,1,9687.60573
383176.2389,6285444.579,AP,SPS,1,9936.7351
383180.4384,6285444.638,AP,SPS,1,10518.03694
383184.638,6285444.697,AP,SPS,1,9877.58109
383188.8376,6285444.757,AP,SPS,1,10090.30799
383193.0372,6285444.816,AP,SPS,1,9703.53181
383197.2368,6285444.876,AP,SPS,1,9288.3162
383201.4363,6285444.935,AP,SPS,1,11453.12524
383205.6359,6285444.994,AP,SPS,1,10463.43325
383209.8355,6285445.054,AP,SPS,1,10069.8316
383214.0351,6285445.113,AP,SPS,1,10986.71867
383218.2347,6285445.172,AP,SPS,1,9472.60368
383222.4342,6285445.232,AP,SPS,1,9727.42093
383226.6338,6285445.291,AP,SPS,1,10325.78643
383230.8334,6285445.351,AP,SPS,1,9590.91169
383235.033,6285445.41,AP,SPS,1,9463.50306
383239.2326,6285445.469,AP,SPS,1,8263.35933
383243.4321,6285445.529,AP,SPS,1,9052.83777
383247.6317,6285445.588,AP,SPS,1,11626.03694
383251.8313,6285445.647,AP,SPS,1,10103.95891
383256.0309,6285445.707,AP,SPS,1,10215.44146
383260.2305,6285445.766,AP,SPS,1,8816.22175
383264.43,6285445.826,AP,SPS,1,9110.85419
383268.6296,6285445.885,AP,SPS,1,8352.09033
383272.8292,6285445.944,AP,SPS,1,7955.07596
383277.0288,6285446.004,BP,SPS,1,7715.04721
383281.2284,6285446.063,BP,SPS,1,7263.04237
383285.4279,6285446.122,BP,SPS,1,6793.60984
383289.6275,6285446.182,BP,SPS,1,6993.8234
383293.8271,6285446.241,BP,SPS,1,6902.81724
383298.0267,6285446.301,BP,SPS,1,6195.24434
383302.2263,6285446.36,BP,SPS,1,6430.72278
383306.4259,6285446.419,BP,SPS,1,6197.5195
383310.6254,6285446.479,BP,SPS,1,7080.27925
383314.825,6285446.538,BP,SPS,1,7148.53387
383319.0246,6285446.597,BP,SPS,1,7426.10266
383323.2242,6285446.657,BP,SPS,1,8375.97945
383327.4238,6285446.716,BP,SPS,1,7976.68992
383331.6233,6285446.776,BP,SPS,1,7894.78438
383335.8229,6285446.835,BP,SPS,1,8675.1622
383340.0225,6285446.894,BP,SPS,1,7081.03005
383344.2221,6285446.954,BP,SPS,1,7794.6776
383348.4217,6285447.013,BP,SPS,1,7505.73305
383352.6212,6285447.072,BP,SPS,1,8278.14783
383356.8208,6285447.132,BP,SPS,1,8133.67555
383361.0204,6285447.191,BP,SPS,1,7362.39834
383365.22,6285447.251,BP,SPS,1,7734.38602
383369.4196,6285447.31,BP,SPS,1,7976.68992
383373.6191,6285447.369,BP,SPS,1,6650.27514
383377.8187,6285447.429,BP,SPS,1,7025.67555
383382.0183,6285447.488,BP,SPS,1,7201.99999
383386.2179,6285447.547,BP,SPS,1,7250.9158
383390.4175,6285447.607,BP,SPS,1,8292.93633
383394.617,6285447.666,BP,SPS,1,7899.33469
383398.8166,6285447.726,BP,SPS,1,8594.39424
383403.0162,6285447.785,BP,SPS,1,6994.96097
